master_sku,handle,title,brand,category,controller_type,is_digital,voltage,amperage,outlet_count,cost,map_price,retail_price,inventory_qty,short_description,long_description,image_primary,needs_images,needs_description,spec_source,match_confidence,match_notes
hmh00634,tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,Titan Controls,Controllers & Timers,timer,,,,,,165.00,132.00,0,,"The TSC-1 timer is a 24 hr time switch that provides accurate timing with 96 non-detachable trippers for on/off functions adjustable in 15 minute increments up to 48 cycles per day. Easy to set and operate. The heavy plastic enclosure and aluminum back plate provide a durable and attractive housing which will never corrode or discolor from hot, cold or humid environments. This unit can be used independently or as part of a combination of control devices to coordinate numerous system functions. Precision synchronous clock motor provides 110V 15A control for pumps, fans lighting, solenoids, motors relays or virtually any equipment or appliance dependent upon multiple daily operations.",https://cdn.shopify.com/s/files/1/0672/5730/3114/files/tsc-1.jpg?v=1761679122,no,no,woo|shopify,60,Woo matched
hmh01321,uno-single-mechanical-timer,UNO Single Mechanical Timer,,Controllers & Timers,timer,no,,,,,,10.99,0,,,,yes,yes,woo|shopify,60,Woo matched
hmh00930,timer-frequency-duration-no-photo-eye,Timer / frequency & duration (no photo eye),,Controllers & Timers,timer,,,,,,275.00,220.00,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/cst-1p_d9ba763b-4d6e-4343-92d3-ab06f352fec5.jpg?v=1761679104,no,yes,woo|shopify,60,Woo matched
hmh00931,timer-frequency-duration-photo-eye,Timer/frequency& duration / photo-eye,,Controllers & Timers,timer,,,,,,,305.00,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/cst-1p.jpg?v=1761679103,no,yes,woo|shopify,60,Woo matched
hmh01419,heat-mat-thermostat,Heat Mat Thermostat,,Controllers & Timers,thermostat,,,,,,,34.95,0,,,,yes,yes,woo|shopify,60,Woo matched
hmh00630,cyc-4p-repeat-cycle-timer,CYC-4P - Repeat Cycle Timer,,Controllers & Timers,timer,,,,,,,190.00,0,,"The CycleStat 4P repeat cycle timer has solved the age old problem of accurate short cycle timing. Perfect for plant zone environments, reptile habitats or any other application requiring automatic short cycle switching. No programming required. Easy to set and operate. Microprocessor time counter with adjustable frequency and duration. The CycleStat 4P timer has many uses. Only a few of them include: fogging or misting, spray stakes or drip system timing, air pumps, CO2 equipment and intake or exhaust fan control. The CycleStat may be set for interval and cycle of timed events. Interval is the time between the ""on"" and ""off"" cycles. The interval knob may be set from 5 minutes to 8 hours. Set this for desired time between functions. Cycle is the length of time that a specific function or condition must be maintained. Cycle may be set from 5 seconds to 30 minutes.  <p>  Automatic reset feature allows function synchronizing with other system controls. Turn the switch off and on again for manual operation. The CycleStat 4P has a built-in photosensor to defeat timing during darkness hours. Photosensor may be switched in or out as desired. Operates on 115V AC with 15A switching capacity.  <p>  The CycleStat 4P utilizes a duplex piggy-back power cord which provides a combination plug and receptacle design. Insert plug into 115V wall outlet and plug equipment into piggy back receptacle.",,yes,no,woo|shopify,60,Woo matched
This clip fan features a robust EC motor specially redesigned in size and construction to lengthen the oscillation lifespan. Its clamp is re-engineered with a compact metal build that saves space in your grow tent and uses a vise grip-like design for greater security on tent poles. Other reinforced features include a brushless motor design,This clip fan features a robust EC motor specially redesigned in size and construction to lengthen the oscillation lifespan. Its clamp is re-engineered with a compact metal build that saves space in your grow tent and uses a vise grip-like design for greater security on tent poles. Other reinforced features include a brushless motor design,resilient carbon steel gears,,Controllers & Timers,fan_controller,,,,,,,,0,,"and dual-ball bearings for omnidirectional mounting.,H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,38.00,39.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/infinity9inch-extera-tuff.jpg?v=1761678844,1,CLOUDRAY S9 Gen 2 Grow Tent Clip Fan 9” with Long-Life EC Motor",,yes,no,shopify,40,Shopify only
hmh00652,co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,,Controllers & Timers,co2_controller,,,,,,945.00,500.00,0,,"<ul>  <li>Controls the CO<sub>2</sub> levels in two zones (or tworooms) simultaneously.  <li>Review performance by reading through the integrated 24-hour data logger (minimum, maximum and average values for each hour of operation).  <li>Special operating mode to operate two zones with only 1 CO<sub>2</sub> monitor controller  <li>Zone remote sensors include 25-ft cables.  <li>Affordable alternative when operating multiple zones.  </ul>  <center><img border=0 width=318 height=406 src=images/grozone_co2d_diagram.gif></center>",https://cdn.shopify.com/s/files/1/0672/5730/3114/files/grozone_co2d.jpg?v=1761678844,no,no,woo|shopify,60,Woo matched
ac-infinity-controller-ai-environmental-controller,ac-infinity-controller-ai-environmental-controller,AC Infinity/CONTROLLER AI+ Environmental Controller,AC Infinity,Controllers & Timers,env_controller,,,,,,,120.00,0,,"[caption id=""attachment_63793"" align=""alignnone"" width=""200""]<img class=""size-medium wp-image-63793"" src=""https://hmoonhydro.com/wp-content/uploads/2025/03/CONTROLLER_AI_-_IMAGE_1__10789-200x200.jpg"" alt=""AI Control"" width=""200"" height=""200""> CONTROLER[/caption]",https://cdn.shopify.com/s/files/1/0672/5730/3114/files/CONTROLLER_AI_-_IMAGE_1__10789.jpg?v=1761678756,no,no,shopify,40,Shopify only
hmh00932,24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,,Controllers & Timers,thermostat,,,,,,,255.00,0,,,,yes,yes,woo|shopify,60,Woo matched
