rank,productName,unitsSold,orderCount,matchedToImport,sku,brand,category
1,The Root Pouch 3 Gallon,282,0,yes,2030,NGW,containers_pots
2,The Root Pouch 2 Gallon,280,0,yes,2030,NGW,containers_pots
3,The Root Pouch 5 Gallon,217,0,yes,2030,NGW,containers_pots
4,The Root Pouch 1 Gallon,209,0,yes,2030,NGW,containers_pots
5,"Mondi Super Saucer 14""",204,0,yes,hmh01193,Nickel City Wholesale Garden Supply,containers_pots
6,"3"" Net Pot",130,0,yes,hmh01323,Nickel City Wholesale Garden Supply,containers_pots
7,Holland Secret Bloom 4L,85,0,yes,hmh00296,Nickel City Wholesale Garden Supply,nutrients
8,Flashgro 50' Roll,80,0,yes,hmh01369,Nickel City Wholesale Garden Supply,grow_room_materials
9,standard 3.5 gallon black bucket,71,0,yes,hmh01758,Standard,containers_pots
10,"Mondi Super Saucer 10""",70,0,yes,hmh01191,Nickel City Wholesale Garden Supply,containers_pots
11,The Root Pouch 7 Gallon,68,0,yes,2030,NGW,containers_pots
12,Flashgro 25' Roll,66,0,yes,hmh01370,Nickel City Wholesale Garden Supply,grow_room_materials
13,SNS Colloidal Shield Gallon,52,0,no,,,
14,Royal Gold 4 liter,50,0,yes,hmh00308,Nickel City Wholesale Garden Supply,nutrients
15,Holland Secret Micro 4L,47,0,yes,hmh00285,Nickel City Wholesale Garden Supply,nutrients
16,DIGI LAMP 945 Watt C.M.H. D/E,45,0,no,,,
17,Holland Secret Grow 4L,44,0,yes,hmh00292,Nickel City Wholesale Garden Supply,nutrients
18,Vortex Sprayer Boot,42,0,no,,,
19,Flashgro 100' Roll,42,0,yes,hmh01370,Nickel City Wholesale Garden Supply,grow_room_materials
20,Green Hornet LED night light,41,0,no,,,
21,Excellofizz Co2 Puck,40,0,no,,,
22,CocoTek Block 5 kg,40,0,no,,,
23,"3"" Net Pot||1 1/4"" drain overflow tube||6' Laser Sprayline",40,0,no,,,
24,Himalaya™ VHO 4' T5 Triphosphor Grow 95W 6500K,38,0,no,,,
25,Super B+ 4 liter,37,0,no,,,
26,B'cuzZ Roxx Rooting Blocks 3 x 3 x 2.5,36,0,no,,,
27,The Root Pouch 15 gallon w/ Handle,36,0,no,,,
28,WaterFarm Reservoir - 4 gal||WaterFarm Growing chamber - 2 gal||Farm Kit - drip ring column etc.,36,0,no,,,
29,Autumn Gallon,35,0,yes,hmh01473,Autumn,nutrients
30,Just Right Xtra All Organic Potting Mix,33,0,no,,,
31,"Mondi Super Saucer 12""",32,0,yes,hmh01192,Nickel City Wholesale Garden Supply,containers_pots
32,Big Bloom Liquid Plant Food (1 gal),31,0,yes,hmh01083,Nickel City Wholesale Garden Supply,nutrients
33,B'cuzZ Roxx Rooting Blocks 4 x 4 x 4,31,0,no,,,
34,NSR Boost Juice 1 gal,29,0,no,,,
35,The Root Pouch 10 Gallon,28,0,yes,2030,NGW,containers_pots
36,Ocean Forest Potting Soil,27,0,no,,,
37,Growforce Single Outlet,27,0,no,,,
38,Royal Gold 1 liter,27,0,yes,hmh00308,Nickel City Wholesale Garden Supply,nutrients
39,NSR Bloom Juice 2-5-4/ 1 gal,27,0,no,,,
40,Nutrilife SM-90-4liter,27,0,no,,,
41,"Plantmax 360W. HPS Conversion 45,000 lumens",27,0,yes,1506,Nickel City Wholesale Garden Supply,grow_lights
