key,sku,handle,title,categories,primary_category,brand,source_files
"handle:teaming-with-nutrients","","teaming-with-nutrients","Teaming with Nutrients","books; nutrients","nutrients","H Moon Hydro","master_books.csv; master_nutrients.csv"
"handle:spin-pro-manual-trimmer","hmh00770","spin-pro-manual-trimmer","Spin Pro Manual Trimmer","books; harvesting","harvesting","H Moon Hydro","master_books.csv; master_harvesting.csv"
"handle:Contrary to many people’s first impression","","Contrary to many people’s first impression","the Source Turbo is the most affordable option for at-home extraction","books; extraction","books","safe and easy home operation","master_books.csv; master_extraction.csv"
"handle:cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl","","cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl","Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation","books; nutrients","nutrients","H Moon Hydro","master_books.csv; master_nutrients.csv"
"handle:This clip fan features a robust EC motor specially redesigned in size and construction to lengthen the oscillation lifespan. Its clamp is re-engineered with a compact metal build that saves space in your grow tent and uses a vise grip-like design for greater security on tent poles. Other reinforced features include a brushless motor design","","This clip fan features a robust EC motor specially redesigned in size and construction to lengthen the oscillation lifespan. Its clamp is re-engineered with a compact metal build that saves space in your grow tent and uses a vise grip-like design for greater security on tent poles. Other reinforced features include a brushless motor design","resilient carbon steel gears","books; controllers_timers; ventilation_accessories","books","10-level Dynamic Wind Modes & Fan Speeds","master_books.csv; master_controllers_timers.csv; master_ventilation_accessories.csv"
"handle:heat-mat-thermostat","hmh01419","heat-mat-thermostat","Heat Mat Thermostat","controllers_timers; propagation","propagation","H Moon Hydro","master_controllers_timers.csv; master_propagation.csv"
"handle:ac-infinity-controller-ai-environmental-controller","","ac-infinity-controller-ai-environmental-controller","AC Infinity/CONTROLLER AI+ Environmental Controller","controllers_timers; environmental_monitors","environmental_monitors","AC Infinity","master_controllers_timers.csv; master_environmental_monitors.csv"
"handle:nutradip-ec-tds-ppm-meter","hmh01232","nutradip-ec-tds-ppm-meter","Nutradip EC TDS PPM Meter","environmental_monitors; ph_meters","ph_meters","H Moon Hydro","master_environmental_monitors.csv; master_ph_meters.csv"
"handle:aphrodites-extraction-gallon","hmh01373","aphrodites-extraction-gallon","Aphrodite's Extraction Gallon","extraction; nutrients","nutrients","H Moon Hydro","master_extraction.csv; master_nutrients.csv"
"handle:aphrodites-extraction-quart","hmh01372","aphrodites-extraction-quart","Aphrodite's Extraction Quart","extraction; nutrients","nutrients","H Moon Hydro","master_extraction.csv; master_nutrients.csv"
